,std_dt,ticker,company_name
2355,20070605,A036220,인포피아
2356,19991228,A036260,반포텍
2357,20060419,A036260,스타엠
2358,20100413,A036260,웰메이드
2359,20141217,A036260,웰메이드예당
2360,20160607,A036260,이매진아시아
2361,20000120,A036270,동양반도체
2362,20030415,A036270,퓨렉스
2363,20040406,A036270,동양반도체
2364,20070417,A036270,아더스
2365,20080429,A036270,나노마인
2366,20081219,A036270,헤쎄나
2367,19991228,A036280,한성에코넷
2368,20070507,A036280,파라웰빙스
2369,20080428,A036280,ST&I글로벌
2370,20081016,A036280,온누리에어
2371,20090324,A036280,뉴켐진스템셀
2372,19991228,A036300,실크자산 1
2373,19991228,A036310,크린2호
2374,19991228,A036330,리젠트자산1
2375,20010118,A036360,3SOFT
2376,19991228,A036390,대신불펀드일
2377,19991228,A036400,마이다스테크
2378,20000323,A036420,한길무역
2379,20010716,A036420,일간스포츠
2380,20080411,A036420,ISPLUS
2381,20110711,A036420,제이콘텐트리
2382,19991228,A036430,다임전환일호
2383,19991228,A036440,다임보험일호
2384,19991228,A036460,한국가스공사
2385,20000404,A036480,대성미생물
2386,19991228,A036490,대백신소재
2387,20040420,A036490,소디프신소재
2388,20100701,A036490,OCI머티리얼즈
2389,20160226,A036490,SK 머티리얼즈
2390,20160309,A036490,SK머티리얼즈
2391,19991228,A036500,유원컴텍
2392,20151022,A036500,에스에스컴텍
2393,20000307,A036530,삼영열기
2394,20020228,A036530,삼영
2395,20050818,A036530,S&TC
2396,20080222,A036530,S&T홀딩스
2397,20010502,A036540,STS반도체
2398,20160420,A036540,SFA반도체
2399,20030107,A036550,에이스디지텍
2400,19991228,A036560,영풍정밀
2401,20000711,A036570,엔씨소프트
2402,19991228,A036580,대상사료
2403,20050708,A036580,대상팜스코
2404,20090414,A036580,팜스코
2405,20010510,A036590,환경비젼21
2406,20040607,A036590,케이엔티
2407,20000111,A036600,영화직물
2408,20021226,A036600,모션헤즈
2409,20031027,A036600,지니웍스
2410,19991228,A036610,사람과기술
2411,20010528,A036610,모바일원
2412,20050701,A036610,UAONE엔터
2413,20051208,A036610,에이트픽스
2414,20080411,A036610,네오쏠라
2415,20090403,A036610,지디코프
2416,20000111,A036620,버추얼텍
